comment ,pick,state
As an immunologist I have been telling everyone I know the very same components of this article. Thankfully some saner voices are weighing into the conversation now and not the panicked ones.,Reader Picks,Ohio
"Unusually alarmist in tone for the normally even-tempered Mr. Freidman. He's right that we need critical thinking from all sides when the matter being considered affects us all - even possibly existentially. But I think he's more pessimistic than prudent about the ability of our human society to bounce back in economic terms once the threat has abated. First things first. Italy still has completely devastating outcomes every day. For now, I am with Dr. Fauci in preferring a potential overreaction if it prevents more covid-16 caused deaths. Economics are of course very important as well but in my opinion Mr. Freidman overstates the risks inherent in coming back once the air clears a little. I'm surprised because I tend to always agree with and benefit from his writing and ideas. Perhaps he is under some undue strain as well to try and make sense out of a situation that is not yet in clear enough focus.",Reader Picks,CO
"IF we can ramp up rapid universal testing during a country wide quarantine of a few weeks, we can move forward with targeted isolation and protection and return to work. However, the abysmal response of the Federal Government has limited that possibility. Universal testing with drive through and other testing venues if implemented rapidly could get us to that point. Who will step up and do it? There is no evidence the President is marshaling resources to do so. He is however working quickly to bail out industries that squandered tax cuts on billion dollar buy backs.",Reader Picks,NY
"Second comment. Health care systems have stopped all elective visits and procedures. Need a plan to get those up and running soon. It will involve dedicated facilities and masking all providers and good hand and surface hygiene. It can be done in the next few weeks. All types of facilities for the elderly need to be secured and all staff and visitors needs masks and hand hygiene protocols. They need to prevent the widespread infections that will fill our hospitals.It can be done today. Young adult need their futures back. They need to takes SATs, LSATs, MCATs. Everyone needs to go back to school ASAP. It can be done. Safer than kids at home. More structure will help everyone and keep kids safer. We need testing for acute and past infections. The bars and cruise ships can be closed indefinitely but other small businesses need to open. Barbers, hairdressers and nail technicians can wear masks and sanitize their hands. Better than not working. Are none of going to have grooming for months? Yikes. We need an endgame in the face of uncertainty. We will live with some risk. The problem we have is poor leadership especially the CDC and surgeon general. It grieves me to say that. I have always been proud of the CDC until now. I blame Trump for all the B team players. In the future we do need to make sure adequate medical supplies and medications are made in the USA so we have control.",Reader Picks,Wisconsin
"As each day grim news, and more grim statistics, come out of Italy, perhaps we are getting a better sense of dangers ahead. Earlier evidence of who is most vulnerable is being contradicted as younger and healthier people are taken sick and die. This is no time for defeatism, but it is also no time for unwarranted optimism. Stopping business as usual is devastating. Continuing business as usual may be more deadly. Especially on the federal level. This humanitarian and economic disaster is a direct result of Republicans blocking universal healthcare, defunding essential and emergency services, pressuring for artificially low interest rates, and emptying the treasury to fill off shore accounts. A perfect storm of misguided priorities, leaving us unprepared to respond to the pandemic. As I write this, GOP Leader Mitch McConnell is holding up Senate votes on relief and recovery, as Republicans dig in for more corporate tax cuts and bailouts and less direct aid to individuals and families. Pres. Trump balks at telling private industry to ramp up production of supplies, while hospitals have no swabs for testing and doctors are sterilizing disposable masks for reuse. The only thing that trickles down are more burdens and harm. We need collective solutions to shared problems. After the emergency response, we need to shore up the ACA and to repeal Reagan and Trump tax schemes and replace them with Eisenhower era tax rates. For starts.",Reader Picks,Maine
"As a physician, I would like to make it eminently clear that we doctors know a few things but not a lot of things! Medicine has components of science as well as components of belief and culture, which are not given towards fact and clarity. Most physicians in the US have practiced in a context of abundance and are panicking in advance, such that much of what we hear from many physicians trying to invoke authority, is their own fears as people, or theories that are way above the pay grades of most health practitioners, whose epidemiology knowledge is at best a class in medical school. Those like the venerable Dr. Fauci, who advocate a lockdown are appropriately looking through a medical lens. It takes the rest of us citizens to apply nuance and balance the known and unknown from the medical side, against the known and unknown consequences of our current path. This article and others questioning the herd, are deeply needed and welcome. My sizable portfolio is a bit lower, likely similar to most of the chattering class, including politicians and bureaucrats. We do not lack for work or rent, and will come out of this chastened but largely unscathed. What of those who have or will lose all, if we do not resume economic activity.",Reader Picks,Washington
"If American leadership had acted on this crisis in January when first announced this may have worked. But they didn't. We can't even get our arms around the basic problems of adequate testing supplies, masks, gloves & gowns. As you surely know, any major problem requires a series or sequence of intelligently planned and programmed events. So far our government has openly demonstrated its inability to first, identify and acknowledge the problem in time and second, to provide the basic sequentially needed PP&E elements to control the problem. The pandemic is first a health problem and second an economic problem. But they must both be included, jointly and in tandem, in the solution equation. I believe you are correct that the economic parameters must be dovetailed with the health parameters so they work together. Although the emergency measures currently under consideration in the Congress are well intentioned, they are in effect being planned without sufficient data to intertwine them with the fluctuations and possible corrective variances in the health problem. In reality, sadly, as an nation we are shooting from the hip, and in total darkness. Our health and economic professionals have demonstrated from day one that they understand the problems and are capable of a planned solution but America's political leadership has preferred to take center stage and as expected, has bungled every step of the way.",Reader Picks,Florida
"The COVID-19 virus is going to be with us from now on. It will be in our environment and those not immune to it will become sick. That is reality. Do not be deluded into thinking that we will defeat and dispose of this enemy as in a war won. Once the infection has affected nearly all of us, the need for medical treatment for the seriously ill will remain but it will be manageable. For now, we don?t have the means to treat all who may need treatment. Once we can, then we can resume normal lives and not be concerned about causing avoidable deaths. It is likely that our economy will be affected deeply and it may take months to recover. Supporting people ordered to stop working should be our first concern. Then once people are able to resume normal lives to support the recovery as we can. We need to understand that at some point we will have to allow activities which will continue to spread this infection because we must live normal lives.",Reader Picks,CA
"It is starting to sound like we are considering ""death panels"". This time it would be for real.(Note Italy)",Reader Picks,MN
"Capitalism has reduced global poverty to 8%. Socialism has reduced its creation of poverty to Cuba, North Korea and Venezuela. The intellectual virus of irrationalism is worse than coronavirus.",Reader Picks,France
"I am in total agreement. The price we will pay in mental agony may be far greater than the pain caused by the virus itself. It seems clear vulnerable people know who they are and ought to be responsible for their own good health by chosing to stay home, not work or socialize if they feel they are at risk. But to tank a entire economy is totally disproportionate to the cost of saving those who have underlying conditions, are probably at risk for getting any number of illnesses and should protect themselves under any and all circumstances anyway. Yes, testing on a broad scale is imperative. But we have acted too extremely, too quickly, and in too devastating a way while making decisions without necessary debate. Surgical approach is the only thing that can bring us back to some state of normal and give us hope that the future will not turn into a nightmare.",Reader Picks,NY
"I haven't had time to read all the comments but what about the question of liability? College presidents didn't close their campuses just out of health reasons. My daughter teaches at a liberal arts college in a rural county with few hospital beds. If an outbreak of corona virus occurred that required more intensive care than the local system can provide, the patients may not receive the care they need. A few deaths of young, otherwise healthy college students is too big a risk for the college to manage; hence the hurried dispatch of students off campus. So while a more focused approach may be appropriate, the incentives at the level of individual decision makers and our legal system may not make that feasible. The lack of leadership at the federal level also makes it harder to try complicated, surgical interventions.",Reader Picks,Minneapolis
"It is simple. Like all issues that presents itself in science, one first has to identify the problem. Until we have adequate test to even sample the population as to the incidence of Covid19, we are poking in the dark. We had time to gear up, but our Federal leadership blew precious time calling it a ""hoax"", ""we have it under control,"" ""it will go away."" This is NOT about politics I am speaking, it is about leadership which is currently demonstrated by some of the best Governors in the nation. Due to this lack of action by our Federal Gov't we are in ""reactive"" mode in response to Covid19. We will get past this, but the lesson learned is what it takes to be a proactive leader who tells the unvarnished truth, a leader who offers compassion and hope and selflessness. Leadership matters. Lives matter.",Reader Picks,Georgia
"?Confirming that individuals are fully recovered, truly immune, and not capable of transmitting is a crucial element in protecting our loved ones most vulnerable to severe infection,? Katz said. This is the rub: from what we understand now there is no assurance that those once infected and recovered cannot become infected again and continue as vectors of infection for others. How to establish with sufficient certainty that the 'coast is clear' and the recovered or those never infected can get back to 'saving the economy' is the question we don't have any answers for. Making that evaluation intelligently, and equitably, is going to take all the science, informed intuition and leadership we have. And, as others have made clear, we're not going to find it at the federal level.",Reader Picks,NY
"I agree with this targeted approach. An indefinite nationwide sequestration is neither economically nor socially feasible . A two or three week sequestration will give governments and heath care providers time to mobilize, delay the contagion, and focus on aiding the vulnerable. Warmer weather at the end of the three weeks may moderate the virus?s spread. Ultimately most will contract this virus and survive, so herd immunity will take effect, protecting the vulnerable.",Reader Picks,Maine
"Interesting piece, but I?m not sure I agree. I believe that Friedman and his experts are being a little cavalier, when they assert: [W]e still do not have a firm grasp of the population-wide fatality rate of coronavirus. A look at some of the best available evidence today, though, indicates it may be 1 percent and could even be lower. We have a population of over 331 Million. One percent of that would be 3,310,000 people! Even if you assume that only 50% of the population contracts the virus, that would still be 1,655,000 people! Even if you figure that ?only? 30% of the population (i.e., 993,000 people) are at high risk, a 1% mortality rate would mean 9.930 people would die, and since the mortality rate for those most at risk is not 1%, but probably more like 8-10%, that would mean 79,440-99,300 deaths! I don?t think that as a society we can allow such a huge amount of deaths to be ?acceptable.?",Reader Picks,DC
"What the heck will our hospitals look like in 2-3 weeks? Seems wildly optimistic to me. Think about this: People start commuting again. Car accidents go up. Workplace accidents go up. And we still have people recovering from coronoavirus (which seems to take quite a while from what I've read) and all the other usual stuff too. Do you really think our hospitals and healthcare workers will be back to something approaching normal in 2-3 weeks? Shall we look to Italy where things really ticked up, oh yes, 3 weeks ago? Cases are finally leveling off but their healthcare system has been driven past its limits. A healthcare system that is just as robust as our own, maybe more so. Rather than leading with ""We need to get back to work!"" which is something I totally agree with in theory, shouldn't you be leading with ""TEST TEST TEST! Where are the resources to make this happen?"" That's absolutely necessary before we can think about opening things up. We have to be able to respond quickly to small outbreaks with testing and contact tracing going forward after this debacle. Because if we haven't figured it out, we'll put ourselves right back in it again.",Reader Picks,Colorado
"Sadly, we do not know what we do not know. Eventually it may come to pass that the DATA tell us another path. But we do not have that data now. Right now a percentage of the people who get coronavirus become seriously ill and hospitals are ALREADY challenged in taking care of them. I don't think any of us think physicians are putting people on ventilators who don't need them. Hope is not actionable. Action can follow the facts.",Reader Picks,PA
"I'm not sure it's true that ""the vast majority will get over it in days"" as it's been widely recorded in Asia that most people are ill for some 2-3 weeks before they recover, even for the mild cases.",Reader Picks,Singapore
"I have been wondering why, if it's necessary to shut down society to fight the coronavirus, why shutting it down for flu season, which kills many more, hasn't even been mentioned.",Reader Picks,Texas
"Thank your for joining those few of us who are thinking clearly Mr. Friedman. It was clear that there is a HUGE difference in way the virus affects the elderly and infirm vs healthy individuals. The fact that strict isolation efforts have not been focused on this group is absurd. We'll crush the economy instead and play around with pretend-quarantine for everyone. The elderly will still be infected and die, albeit at a slower pace, and the ICU will still have to deal with large numbers of elderly patients. And please, readers, spare me your flatten the curve speech or your deeply flawed understanding of death rates or the situation in Italy. The coverage of these issues has been superficial and misleading. The elderly and infirm should be strictly quarantined in place now, with extensive support and services. The rest of us should adopt simple practices to delay exposure. The death rate will plummet and hospital caseloads will be drastically reduced. There isn't room here to provide the kind of detail needed, but there will certainly be more and more voices in the scientific community coming around to this point of view.",Reader Picks,USA
"I like this idea but it's scary to implement it before, as you mentioned, understanding why some younger people are getting so sick. And also I don't know what people who are in the 50-60 range, especially those who have kids, would do in this situation since they are in between low risk and high risk.",Reader Picks,CA
what's a better idea? The New Deal helped many.,Reader Picks,CA
"This is a premature idea. Specifically, we do not know the actual mortality rate (currently 9% in Italy). We also don't have a clear understanding of who is at greater risk, as you state. The most urgent need, given these facts, is avoiding hospitalization. In a few weeks or maybe days we'll have more data. Until then, we need to do what we're doing.",Reader Picks,MA
"Thomas, Your column is a common scenes reply to this statistically and relentlessly driven 'horizontal' approach to the phenomenon. I share it, somewhat, being from Hopkins MN - don't be fooled by St Baudille-et- Pipet France, that's another story - but it's a question of leadership. And though in this case I might wish that a journalist were in a position of leadership, you're not. And the leadership you've got has already dropped the ball so many times and made so many turnovers, notably in not referring to people who know something about epidemiology, not to mention their undependabilty about telling the truth, that common sense has fallen by the wayside. Now I can only hope that the people will realize that there are (were) experts in governmental positions who have the the common good in mind and that we can hope to return to respecting them after we suffered the pains, biological and economic, of the current situation because there will be many others.",Reader Picks,France
"There?s so much he got wrong here. The first Italy, hows that working out? Second, you can?t isolate people separate from the population. People will carry to them. It only takes one. Now if we?d had extensive testing so we could identify all the carriers that might be possible. But until then this is our only option. And what do you think would happen if the hospitals are overflowing with dead people?",Reader Picks,CA
"I agree 100% with the article and your comment. I've been talking about a similar approach with friends and why our leaders are not discussing similar options. Also, how about directing government help to create ""safe"" resort areas for population at risk to voluntarily reside during high-risk periods before a vaccine is available? How about the IMF allowing countries to print-and-write-off (not booking as debt) money allocated to basic help plans (ie: income replacement)? Why aren't our brightest minds proposing plans for what to do in May when shelter-in-place won't be a sustainable plan? I have clients in China, in the hotel industry, and the sector is still all but closed for business. What country can endure that? In the meantime a high percentage of my network in the risk group would currently prefer to re-open for business, take precautions (gloves, distancing, avoiding crowds), and take the risk.",Reader Picks,Georgia
"Young people can and will get very sick and die from this. 40 percent of those who were hospitalized for the virus as of March 16 were ages 20 to 54. Among the most critical cases, 12 percent of intensive care admissions were among those ages 20 to 44, while 36 percent were for those 45 to 64. There will be many tragic deaths of younger people in the US over the next few months. More than there should be due to the widespread belief that young people won?t be affected in any serious manner. For many that will be true, but not all.",Reader Picks,NY
"We don't know if a 2 week period will bestow immunity to people sick with the virus. How can we make a plan based on incomplete knowledge? If workers return to work only to get another round of virus, where will we be?",Reader Picks,CA
I completely agree with the need weigh the cure against the peril. In our family we have an 87 year old grandmother who is a locked down facility. Our brother in law is in the last stages of early onset alziemers and a dear friend is immune compromised. All are quarenteened. The rest of us have to work and pay bills and contribute to the care of others. It is insanity to keep us from working as we are all in optimal health at at the lowest risk. And we are committed to be ultimately careful in public,Reader Picks,Canada
"The acquisition of 'herd immunity' in the population by removing the practice of social or physical distancing for the less vulnerable, was the 'model' adopted by UK initially, and which, as we know, was not effective. The goal of a more stretched out physical distancing policy is one: to 'flatten the curve', in other words to not overwhelm the health care system by an influx of sick and/or panicked people seeking medical care, during which the capacity to care for the really sick diminishes. More testing needs to be performed and more data to be collected to advance scientific knowledge about this virus and its potential to confer immunity. In the meantime, strict measures and/or lockdowns should be continued for the next few weeks. The government should provide financial aid to businesses and individuals who lost their job due to this.",Reader Picks,Texas
"I really wish it were that simple. Dr Katz approach, though well thought out, simply will not work. It will not work because it requires almost complete compliance from everyone and that will never happen.",Reader Picks,Georgia
"Finally -- thank you for giving the important opinion piece from Friday a broader platform and more visibility. It is essential and even vital that the economy restart sometime in April or early May. Otherwise it is certain that the damage will be as devastating as the disease we are trying to stop. Consider these things: 1 - nobody knows what the fatality rate is. In the countries were extremely widespread testing has been done (Germany, South Korea, Japan) it is estimated to be somewhere between 0.4 and 0.7 percent. that means it's somewhere between H1n1 (remember that one? We didn't shut down the country for that) and something about twice as bad. Italy is not a good source -- they only test people who are sick enough to be treated at the hospital. 2 - We have a specifically American problem: it is clear that if we shut down for months on end -- maybe even a year until there's a vaccine, if there ever is one -- the economy and medical system will fall apart completely, tens of millions will be impoverished and homeless and without health insurance -- and more people will die ultimately. This is because in America we don't have institutions to take care of everybody in a time of national crisis. And all this while ""flattening the curve"". 3 - epidemiologists know a lot about stopping diseases. But the economical damage is someone else's problem -- this is why the advice we have been getting is good for beating back Covid19, but bad for the country as a whole.",Reader Picks,Georgia
"""Or a cancer patient having to delay chemotherapy because the facility is closed. Or a patient with advanced emphysema who dies for lack of a facility with a ventilator."" But cancer patients are already having their surgeries delayed indefinitely because we weren't prepared for the influx of existing coronavirus patients. I'm not dismissing this article's viewpoint, but I disagree and its arguments are unconvincing and irresponsibly misleading.",Reader Picks,CA
"In a perfect world, we can reason to reach a conclusion. In a practical world, things become complicated. People just don't follow rules. Lockdown in Wuhan China is a good example. There are always people who want to do things cute and beyond conventional wisdom. Extreme force has to be used forcing people to stay in doors. Youngsters in Florida during Spring break gather and social intimately. They treat warning as just a warning until penalty will be fined over their heads. I don't think horizontal approach will be doable in this country. But we can argue it for a long time.",Reader Picks,Texas
"You are about a month behind the state this disease is in. First of all, testing everybody who might have it is not possible. People would need to get tested multiple times, so we are talking a billion or more tests just for the US. Also, testing does not cure anybody or stop infections at this point - it is a purely statistical tool. So this is a non-starter. It also achieves nothing -- the disease cannot be contained anymore, it is impossible. The solution advocated in this article: shutdown for two weeks to slow infections temporarily, stop wasting money and energy on testing (whenever somebody gets tested they risk infecting someone), isolate the old and vulnerable over the next year to protect them, everybody else go back to work so the country doesn't completely fall apart. Manufacture hundreds of thousands of ventilators and get ready for more patients. Anybody who is sick, stay at home and isolate yourself, don't go out. If they are very ill, then and only then go to a hospital. Whether they have Covid19 won't really be relevant, they should be treated regardless.",Reader Picks,NY
"The single greatest threat is overwhelming the healthcare system. There needs to be a concentrated approach of ramping up whatever area we need to, to have adequate ventilators, beds, and protective equipment, as this infection puts disproportionate numbers of people on ventilators ? far more than the flu. Concurrently, we need to maximize testing capacity so that we can get the data we need to understand the spread of the contagion. The Administration blew it, absolutely and totally. Our entire nation is held captive to the ego of Trump. Everyone around him is afraid to bruise his ego, challenge his ignorant assumptions, and endure his childish wrath. It is because of this behavior that we are in this position and way behind the curve. We have to deal with things from here, not what might have been. Trump needs to shut up and get out of the way, or be removed by the 25th. Instead of taking a softball question and offering data and assurance and confidence that this is being handled, he lashes out like a brat at a reporter. His handling of this is just terrible. Truly atrocious.",Reader Picks,CA
"Sorry, but we are in no way, shape, or form able to do a 2-week quarantine to resolve this situation at this point. We have let it get too far and are way too unprepared. We have NO real idea of how widespread the virus is. We can't go on in isolation forever--of course. But if we are going to have any chance of keeping the death toll down, we have to close the gaps BEFORE we step back from isolation. That means: -ensuring hospitals are fully equipped with resources AND staff -having an extremely large supply of PCR or equivalent tests available and all resources needed to run them quickly, as well as a plan in place for testing even mildly symptomatic people. -having an antibody test (there are none in the US yet) up and running so we can figure out who really HAS been exposed and has acquired immunity , as well as a better understanding of acquired immunity to this particular virus -having solid treatment protocols in place. There are many researchers and companies working on closing these gaps--but until we get there, a 2-week quarantine without addressing them will do nothing more than delay our becoming the next Italy by 2 weeks.",Reader Picks,IL 
"Your solution is only workable when massive testing becomes available. Otherwise, what you are proposing will put the population at higher risk.",Reader Picks,DC
Thank you so much for writing this. We are going to plunge our culture into the next Great Depression complete with massive deaths from poverty/violence/suicide and social unrest . . . To primarily save a portion of the population that could quarantine itself. Pure insanity. It must end.,Reader Picks,DC
"It always helps to know the profile of a commenter as perspective is subjective. I am 67 year old, ten years plus heart transplant recipient, and I survive day to day by immunosuppression. So yeah, I'm a big target for COVID-19. I've already had my ""big break"" so I understand where I sit in the unfortunate echelon of medical triage. The proposal here might have been viable weeks ago, but that window of containment has closed. The idea of letting everyone be infected is daunting when there is no proof yet of how, if or when immunity presents and there IS some proof, albeit minuscule, of re-infection. And, without massive testing, which is clearly not arriving soon, we're left with asymptomatic and incubating carriers everywhere - including the supposed low-risk groups. What those many unknowns underscore is a frightening deficit in our knowledge of this disease and that should give us serious pause before making assumptions and false analogies. The idea of a horizontal suppression - as long as it is universal, thorough and enforced - is still the best short term defense in a raging, exponential epidemic. Past experience (the 1918 Flu) show that when communities did that, the survival rates were markedly better. And it is absolutely critical to give our besieged health care system a fighting chance.",Reader Picks,Washington
"It all comes back to politicians controlling scientists. If Xi had listened to his scientists/doctors at the outset - it could have been contained in Wuhan. Or even prevented if they had closed the wild animal markets like had been forewarned. If Trump had not disbanded Obama's NSC global health security office that successfully led the world in defeating Ebola, America wouldn't be here. Think of Covid-19 as a rapid onslaught Global Warming crisis. Much worse is headed humanities way unless we begin to listen to the ones that have discovered, measured and understood the problems so as to formulate the answers. Respect science or suffer the consequences.",Reader Picks,Connecticut
"It's not utterly ludicrous. The dollar is the world's reserve currency; it plays basically same role that gold once did. It's quite possible to print dollars and just give them to people for a few months while the economy is largely shut down. Again, my comment should not be taken to mean that absolutely everything should shut down. Essential services, including transportation and selling of food, would have to continue, as would most health care, public safety, and the manufacturing of medical supplies. Nonessential goods and services can't continue as before, since people are scared and are not going out and spending as they were doing, pre-pandemic. The fact that some people are still on the beaches or in clubs is a waning phenomenon; as the virus spreads such activities will come virtually to a halt, even absent a government order to do so.",Reader Picks,VT
"Excellent article. I had couple of questions or concerns to put forth 1. If people return to work after no symptoms for 14 days, it is still a possibility that they were only exposed few days ago and are yet to show symptoms. In spite of shelter at home, there is still a possibility of contracting the virus, when they made that visit to the pharmacy for essentials or touched a surface while shopping for grocery. There will still be a small percentage of population that might show symptoms after they get back to work. Even such a small percentage can grow out of proportion in no time like we just saw. 2. I don?t understand how developing herd immunity protects the vulnerables. The vulnerables are vulnerable anytime they are exposed to the virus. Someone who is or has become immune can still transmit the virus to the vulnerables.",Reader Picks,CA
"Many under 60 people are getting very sick. I don?t think anyone wants to risk their health or life to go back to work before they know it?s safe to do so. While Trump is said to be working on getting ventilators, swabs, masks (not the really efficient ones) and other very necessary health equipment, (that?s another story, not sure of his effectiveness on anything or the truth of any of it) very little is said about testing. Without testing, we can?t be sure how safe our communities are. Better to stay in place, let the Government figure out how to get aid to people so they can keep their homes, other necessities and eat, and not overload our health care system. When we have the capability to test a the largest community possible regularly and frequently, we will know what we are dealing with and be able to ask people to go back to work - safely. Not interested in using people as canaries in coal mines. Also not interested in asking anyone to risk their life for an economy or country that does not protect them.",Reader Picks,CA
"The Federal Government knows how much taxes each person has paid over the last year and it knows the business account that the money was sent to. Tomorrow morning everyone who earns under $4 million a year will have all of their tax money returned and immediately distributed by their employers. The money is returned to the taxpayer and in, effect, no one will have been laid off and no one will have missed a paycheck. In addition, employers agree to keep all employees and everyone returns to work in 10 days. I too agree that the saving of a relatively few lives is not worth the collapse of the entire economy which will take years to return to normal. Life is not without risk but far more people will die from depression, suicide, drug addiction and wife and child abuse than died of the virus in the next few years if we don't return to work.",Reader Picks,NY
Do you seriously believe that the Trump administration is capable of managing such an approach to fighting the pandemic? And do you seriously believe that any President could survive the political storm that would surely erupt if they attempted to impose such an approach? Attempting to protect the elderly and vulnerable while allowing everyone else to fend for themselves might work in a dictatorship. In this country no sane politician would have the temerity to propose such an idea.,Reader Picks,VA
"Thank you for this. How long is it economically possible for people who live from week to week to stay at home? With businesses facing bankruptcy from the of lack of customers, many of these people will not have jobs to return to. I believe it is a problem to have medical people call all the shots. I believe there should be a compromise and team approach between the medical people and the economists. Yes we want to slow the rate of infection, but the reality is it's not going away, it will likely resurge and we could get hit with this or even another virus within the next year. Additionally there is a problem with our statistical approach to dying. The current medical opinion is that death is the enemy to be prevented at all cost in almost every case. This is not only patently absurd, it is not possible. death is the natural final consequence of life and if I die of this virus it is no more unnatural than if I die from an osteoporotic fracture. Unfortunately we cannot afford to save every debilitated person without regard to cost, myself included. There will have to be some triage. Thank you for approaching this.",Reader Picks,MT
"So you're going to personally provide tests to, say, 100 million Americans? Because that's what the Friedman/Katz strategy is based on, finding the virus and isolating it. Without that, the strategy fails.",Reader Picks,CA
Quarantining the most vulnerable I don't think would work. What about caregivers or people who live with vulnerable people? Can you safely go to work on the off chance you'd carry it home? And we still don't know how long people would be immune for or if you could get it again. And assuming that populations less at risk are somehow to be canaries in the pandemic coal mine (especially as hospitalized cases for those under 50 increase) won't that just encourage the pool of people dependent on ICU care? This blanket approach (including a lot of money for everyone) is the only way to stem the tide right now. I'm not an economist or a doctor but it seems pretty apparent.,Reader Picks,Tennessee
"I live in China. Nobody buys anything now. The economy is paralyzed. People are buying no cars, no houses, no clothes, no fridges, nothing, only food. In SAR Macau, from 5 shops, 3 are closed. The other 2 are empty. Everyone is afraid of buying. How to stimulate an economy full of fear? I am saving money myself. Not in the mood to spend it. What if the disease returns? Now, we know that unemployment is already 6.2%, maybe 7%. What if I lose my job? GNP fell dramatically in Feb and March. No end in sight.",Reader Picks,HK
"Yes you are a reporter and not a medical expert. But as a reporter you have a responsibly to get your facts straight. The fatal flaw in your argument is that 30%, not a small fraction, of people that get infected across all age groups but children will require medical attention. That is the nightmare scenario for our healthcare system and that we are trying to head off.",Reader Picks,MA
"I agree, we are on a very dangerous course. For the next few weeks the country should rally around getting setup with equipment, facilities, and expedient mass testing so that the medical community is well equipped to handle the situation. Throw all resources at it, and do so aggressively. Isolate and protect the high risk groups. Then we all need to ease back into our normal day-to-day routines and work. Lockdown is not feasible months on months, and a self-inflicted major economic depression is not a necessary a better alternative. Think about what the last major economic depression brought, World War 2.",Reader Picks,NJ
"Cogent, thoughtful, solution-focused. That's said as a healthy woman in my 70s who started total sequestering three-plus weeks ago, long before the concept seemed to be a glimmer for most people, including government. I quit the gym, all the volunteer work, dinners with friends at home or in restaurants, the hair salon (ick, I'm now going gray!) - everything that is now mandated or strongly recommended. Friends thought I was over-reacting. Why did I? Years of survival, keen observation, accruing of commonsense. Then everyone was asked to do so BUT millions have not -- or didn't until forced to. So, those who continued to live in a risky manner should be the first allowed out after two weeks. They'll love it. And the herd immunity can begin and business can crawl back from the abyss. Good column. I'll sit tight and watch. Being at home for so long has been a very difficult for a lively, vital person but I also feel like an everyday heroine for my community and local healthcare. The rest of you can do it for two weeks.",Reader Picks,RI
Only in USA would there be an argument that the economy is more important than our health.,Reader Picks,Canada
"The key is testing, which generates data and permits a data driven response. Once testing is widely available, then it is time for people to return to work and for the vertical response Friedman suggests. Trump's testing delays for political reasons were cruel and ignorant.",Reader Picks,CA
"You seem to be failing to understand the role of colonialism (in all of its forms, across centuries and continents) in the success of ""capitalism"" at raising quality of life. You also appear to have an extremely cartoonish view of what the alternatives to capitalism look like. ""Capitalism"" as typically used in the USA really consists of 3 parts: free markets, entrepeneurial culture and a preference for distributing profit to those who invest capital rather than labor or IP. There's nothing that requires that all 3 of these form the basis for an economy, and indeed through history there have been versions that include only 1 or 2 of these 3 factors. For me personally, I think there's good reason to believe that an economy that utilized the first two of these, but via employee-owned cooperatives and community investment would actually function better by most metrics than the version we have in the US today.",Reader Picks,NM
I don't agree with the proposal. The purpose of the lockdown is to give us time to get the medical system up to speed to deal with the very large number of illnesses that are coming. Terminating the lockdown before that happens will just kill a lot more people.,Reader Picks,NY
"Rewrite this article at the beginning of next week when the number of cases in New York alone will likely exceed that of China. There are too many conflicting voices of ?experts?, helped along by sequestered and privileged journalists, that muddy the waters of what society should be doing, and what should have been done. This is a dangerous and lethal virus for all ages",Reader Picks,CA
"Morning Bill, I will be 75 on July 4th. I have had the good fortune of being born and living in this beautiful Country. I will spare you my story but the bottom line is there is no way I should be alive and writing you this message. I have a suggestion for all the Fortune 500 companies. The executives of each of these companies should forego taking any salary or bonuses for this year, instead using that money to support its workforce. Imagine the response.",Reader Picks,Washington
A friend of mine in Jerusalem died yesterday of a heart attack -- brought on by the financial stresses of his business being closed -- and he failed to go to the hospital because he was worried about catching the virus - just as you describe in your terrific essay,Reader Picks,CA
A societal safety net is not socialism.,Reader Picks,Canada
"This plan is completely contingent on the following being true. Sure there are still complications and maybe certain other considerations ought to be made but without this confirmation, I don't think any of the strategy matters. ?Confirming that individuals are fully recovered, truly immune, and not capable of transmitting is a crucial element in protecting our loved ones most vulnerable to severe infection,? Katz said.",Reader Picks,CA
"It can be pretty severe even for not so old people. So, not only old people should take shelter while the others go back to work.",Reader Picks,IL 
"After stating 3 goals, including that we don't overwhelm the medical system, Friedman proposes a policy which would do exactly that: After 2 more weeks, let most of us, who are not that susceptible, go back to work, so that we don't suffer the increased loss of life that would result from tanking the economy. Nice try, but a bad idea, for multiple reasons. 1) It might work if we had a billion masks, 100,000, ventilators, and 500,000 hospital beds all available, but we don't. The threshold at which the medical system would be overwhelmed is quite low. See New York. 2) This particular strain is -highly- contagious; current estimates are that each case infects 2 to 2.5 other people. We lack anywhere near sufficient test kits, and carriers are asymptomatic for 5-6 days. This is new, so no one has immunity, and there won't be a vaccine for at least a year. Resuming business as usual would be an public health disaster. See Italy. I suggest that Friedman (and others) read Camus' ""The Plague"", in which a city first has to isolate itself from the world, and its citizens have to isolate themselves from each other. It's not fun, but it's doable. The currently stuck ""bailout"" bill, is simple socialism, socializing the losses, despite the current debate on whether people or corporations come first. We needed more of such socialism long before Sanders advocated it for health care, and we need it even more now, well beyond health care. Perhaps this too will shift the debate.",Reader Picks,MA
